date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:01	67/67	---M--	200	added ('OK')	text/plain	etag:%227172fc949ad9060a8d15b75fcf9975ee-ssl%22	https://nytcriticpicks.netlify.app/robots.txt		(from )
13:03:01	2664/2664	---MCZ	200	added ('OK')	text/html	etag:%226bd298569feea9d8a51d155f1d8455ed-ssl-df%22	https://nytcriticpicks.netlify.app/	E:/Web-develpoment%20Projects/web/nytcriticpicks.netlify.app/index.html	(from )
13:03:02	9438/9438	---M--	200	added ('OK')	image/png	etag:%22e2801626bfa179654df5b7742c581593-ssl%22	https://nytcriticpicks.netlify.app/apple-touch-icon.png	E:/Web-develpoment%20Projects/web/nytcriticpicks.netlify.app/apple-touch-icon.png	(from https://nytcriticpicks.netlify.app/)
13:03:02	1390/1390	---M--	200	added ('OK')	image/png	etag:%22f54d75fdb6fc7e475dcad0ce284b48b3-ssl%22	https://nytcriticpicks.netlify.app/favicon-32x32.png	E:/Web-develpoment%20Projects/web/nytcriticpicks.netlify.app/favicon-32x32.png	(from https://nytcriticpicks.netlify.app/)
13:03:03	660/660	---M--	200	added ('OK')	image/png	etag:%22f47bd2d562fea28109c5131492b8cd82-ssl%22	https://nytcriticpicks.netlify.app/favicon-16x16.png	E:/Web-develpoment%20Projects/web/nytcriticpicks.netlify.app/favicon-16x16.png	(from https://nytcriticpicks.netlify.app/)
13:03:03	263/263	---M--	200	added ('OK')	application/octet-stream	etag:%2218710f16312025d1c75893eeff15e235-ssl%22	https://nytcriticpicks.netlify.app/site.webmanifest	E:/Web-develpoment%20Projects/web/nytcriticpicks.netlify.app/site.webmanifest	(from https://nytcriticpicks.netlify.app/)
13:03:03	3156/3156	---MCZ	404	error ('Not%20Found')	text/html	etag:1600114276-ssl-df	https://nytcriticpicks.netlify.app/logo192.png	E:/Web-develpoment%20Projects/web/nytcriticpicks.netlify.app/logo192.png	(from https://nytcriticpicks.netlify.app/)
13:03:04	156228/156228	---M-Z	200	added ('OK')	text/css	etag:%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	E:/Web-develpoment%20Projects/web/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://nytcriticpicks.netlify.app/)
13:03:05	3052/3052	---M-Z	200	added ('OK')	text/css	etag:%228bbfbd1ca4d998d916051d9b7b348ded-ssl-df%22	https://nytcriticpicks.netlify.app/static/css/main.6a41199f.chunk.css	E:/Web-develpoment%20Projects/web/nytcriticpicks.netlify.app/static/css/main.6a41199f.chunk.css	(from https://nytcriticpicks.netlify.app/)
13:03:06	4712/4712	---M-Z	200	added ('OK')	application/javascript	etag:%2298979761e2f4bda7030dfffc7c67b702-ssl-df%22	https://nytcriticpicks.netlify.app/static/js/main.0ba92b56.chunk.js	E:/Web-develpoment%20Projects/web/nytcriticpicks.netlify.app/static/js/main.0ba92b56.chunk.js	(from https://nytcriticpicks.netlify.app/)
13:03:06	229210/229210	---MCZ	200	added ('OK')	application/javascript	etag:%2245a0c775f66481de7b915c3da3ecb928-ssl-df%22	https://nytcriticpicks.netlify.app/static/js/2.0d8bce12.chunk.js	E:/Web-develpoment%20Projects/web/nytcriticpicks.netlify.app/static/js/2.0d8bce12.chunk.js	(from https://nytcriticpicks.netlify.app/)
